,area,eccentricity,perimeter,euler_number,orientation,solidity,area_bbox,area_convex,axis_major_length,axis_minor_length,firs_hu_moment,second_hu_moment,discrete_compactness,discrete_tortuosity,label
50,2381743.0,0.85796767222032011,9294.720989647139504,-4.0,1.2648479243995380816,0.85156347764279527457,4086159.0,2796906.0,2549.2513290515053086,1309.559795378536819,0.0009866299166704621277,9.437722797269077621e-08,0.9996721323106564361,0.51632253340655320795,1.0
51,2030479.0,0.8688722618034234735,10214.20540446960149,-5.0,-1.5706129756647628781,0.91172948407835785467,3158841.0,2227063.0,2341.7026142253134822,1159.2279263962605,0.00086222396184651678257,6.8519768055225661045e-08,0.9994437789474238665,0.5274682612695492656,1.0
52,2118983.0,0.86783255753029653334,10335.720123095361487,-5.0,1.4400674919413203323,0.9058661179841303035,3365337.0,2339179.0,2366.5344743605114672,1175.8286802532259117,0.00087579470567738636894,7.547216445252976258e-08,0.999467181688992623,0.5286925919408762553,1.0
53,1934260.0,0.8937395630239457489,13899.001794687494112,-59.0,-1.5251705774495447621,0.92588373152789527065,2871292.0,2089096.0,2370.347632128229634,1063.3052756950683033,0.00080769008692484038636,6.399381741071371131e-08,0.99892182375184279675,0.52886643571978442235,1.0
54,2317575.0,0.87289742733766573224,14219.9795001109068835,-27.0,0.40489178628508382118,0.98076923076923072653,3550848.0,2509037.0,2514.822589634376527,1226.991403207850226,0.0008286429085245816152,6.438820871661574168e-08,0.99912239688450887876,0.5206570512820513086,1.0
55,1262209.0,0.8617640288887815636,6289.9805153394636363,0.0,1.3907575785927797085,0.89882168464843159583,1953844.0,1404293.0,1843.9214388939356013,935.4385537512296196,0.00080706170745064350746,6.5610432614471444215e-08,0.9996439461320961728,0.51330148619957538525,1.0
56,2446152.0,0.8477609320633167078,9996.9606717414280865,-3.0,1.4691031600219677244,0.9182583156149770609,3643649.0,2663904.0,2444.5297367067682899,1296.526127431487339,0.0009891196872963549207,9.228894736255566434e-08,0.99961743153771787096,0.5235270270270270254,1.0
57,2663483.0,0.8520582438245904999,12045.887870826009021,-14.0,1.4518988778132291273,0.89763976695929881267,3759924.0,2967207.0,2587.404351574109569,1354.369014283564411,0.0010672845496510364321,1.00072087803411566696e-07,0.999481768926512526,0.5309334674040556701,1.0
58,1565077.0,0.9227420541786065522,8212.12387645247145,-16.0,-1.5508360585807607901,0.9334258562344411869,2397056.0,1676702.0,2307.0498283328365687,889.1787304426210312,0.0007908501294224474284,6.174930132177278107e-08,0.999487154830933755,0.51392811623757328476,1.0
59,2452781.0,0.87444628769603471863,12668.6300782372400136,-41.0,1.5378401862323252125,0.92734739463194482134,3757446.0,2644943.0,2569.0342883049302145,1246.2959391654651427,0.00092633929394601367043,7.654113604872838994e-08,0.99934684557738773236,0.53120794078061905896,1.0
60,969990.0,0.8730485531033680413,4582.3295782756322296,1.0,-1.5329583684582022141,0.9507897517530979892,1415367.0,1020194.0,1615.0816196465250414,787.5675611701665275,0.0007646331647526258442,5.9488327029939542265e-08,0.99983415805764797035,0.51329775880469585836,1.0
